date,country,D,H,I,M,S
2021-07-05,Afghanistan,2,0,0,35,0
2021-07-05,Japan,13,0,0,108,0
2021-07-05,Sweden,1,0,0,8,0
2021-07-06,Afghanistan,2,0,0,35,0
2021-07-06,Japan,13,0,0,108,0
2021-07-06,Sweden,1,0,0,8,0
2021-07-07,Afghanistan,2,0,0,35,0
2021-07-07,Japan,13,0,0,108,0
2021-07-07,Sweden,1,0,0,8,0
2021-07-08,Afghanistan,2,0,0,35,0
2021-07-08,Japan,13,0,0,108,0
2021-07-08,Sweden,1,0,0,8,0
2021-07-09,Afghanistan,2,0,0,35,0
2021-07-09,Japan,13,0,0,108,0
2021-07-09,Sweden,1,0,0,8,0
2021-07-10,Afghanistan,2,0,0,35,0
2021-07-10,Japan,13,0,0,108,0
2021-07-10,Sweden,1,0,0,8,0
2021-07-11,Afghanistan,2,0,0,35,0
2021-07-11,Japan,13,0,0,108,0
2021-07-11,Sweden,1,0,0,8,0
2021-07-12,Afghanistan,2,0,0,35,0
2021-07-12,Japan,13,0,0,108,0
2021-07-12,Sweden,1,0,0,8,0
2021-07-13,Afghanistan,2,0,0,35,0
2021-07-13,Japan,13,0,0,108,0
2021-07-13,Sweden,1,0,0,8,0
2021-07-14,Afghanistan,2,0,0,35,0
2021-07-14,Japan,13,0,0,108,0
2021-07-14,Sweden,1,0,0,8,0
2021-07-15,Afghanistan,2,0,0,35,0
2021-07-15,Japan,13,0,0,108,0
2021-07-15,Sweden,1,0,0,8,0
2021-07-16,Afghanistan,2,0,0,35,0
2021-07-16,Japan,13,0,0,108,0
2021-07-16,Sweden,1,0,0,8,0
2021-07-17,Afghanistan,2,0,0,35,0
2021-07-17,Japan,13,0,0,108,0
2021-07-17,Sweden,1,0,0,8,0
2021-07-18,Afghanistan,2,0,0,35,0
2021-07-18,Japan,13,0,0,108,0
2021-07-18,Sweden,1,0,0,8,0
2021-07-19,Afghanistan,2,0,0,35,0
2021-07-19,Japan,13,0,0,108,0
2021-07-19,Sweden,1,0,0,8,0
2021-07-20,Afghanistan,2,0,0,35,0
2021-07-20,Japan,13,0,0,108,0
2021-07-20,Sweden,1,0,0,8,0
2021-07-21,Afghanistan,2,0,0,35,0
2021-07-21,Japan,13,0,0,108,0
2021-07-21,Sweden,1,0,0,8,0
2021-07-22,Afghanistan,2,0,0,35,0
2021-07-22,Japan,13,0,0,108,0
2021-07-22,Sweden,1,0,0,8,0
2021-07-23,Afghanistan,2,0,0,35,0
2021-07-23,Japan,13,0,0,108,0
2021-07-23,Sweden,1,0,0,8,0
2021-07-24,Afghanistan,2,0,0,35,0
2021-07-24,Japan,13,0,0,108,0
2021-07-24,Sweden,1,0,0,8,0
2021-07-25,Afghanistan,2,0,0,35,0
2021-07-25,Japan,13,0,0,108,0
2021-07-25,Sweden,1,0,0,8,0
2021-07-26,Afghanistan,2,0,0,35,0
2021-07-26,Japan,13,0,0,108,0
2021-07-26,Sweden,1,0,0,8,0
2021-07-27,Afghanistan,2,0,0,35,0
2021-07-27,Japan,13,0,0,108,0
2021-07-27,Sweden,1,0,0,8,0
2021-07-28,Afghanistan,2,0,0,35,0
2021-07-28,Japan,13,0,0,108,0
2021-07-28,Sweden,1,0,0,8,0
2021-07-29,Afghanistan,2,0,0,35,0
2021-07-29,Japan,13,0,0,108,0
2021-07-29,Sweden,1,0,0,8,0
2021-07-30,Afghanistan,2,0,0,35,0
2021-07-30,Japan,13,0,0,108,0
2021-07-30,Sweden,1,0,0,8,0
2021-07-31,Afghanistan,2,0,0,35,0
2021-07-31,Japan,13,0,0,108,0
2021-07-31,Sweden,1,0,0,8,0
2021-08-01,Afghanistan,2,0,0,35,0
2021-08-01,Japan,13,0,0,108,0
2021-08-01,Sweden,1,0,0,8,0
2021-08-02,Afghanistan,2,0,0,35,0
2021-08-02,Japan,13,0,0,108,0
2021-08-02,Sweden,1,0,0,8,0
2021-08-03,Afghanistan,2,0,0,35,0
2021-08-03,Japan,13,0,0,108,0
2021-08-03,Sweden,1,0,0,8,0
2021-08-04,Afghanistan,2,0,0,35,0
2021-08-04,Japan,13,0,0,108,0
2021-08-04,Sweden,1,0,0,8,0
2021-08-05,Afghanistan,2,6,0,29,0
2021-08-05,Japan,13,6,0,102,0
2021-08-05,Sweden,1,0,0,8,0
2021-08-06,Afghanistan,2,6,2,27,0
2021-08-06,Japan,13,23,0,85,0
2021-08-06,Sweden,1,0,0,8,0
2021-08-07,Afghanistan,2,4,6,25,0
2021-08-07,Japan,13,25,4,79,0
2021-08-07,Sweden,1,0,0,8,0
2021-08-08,Afghanistan,2,4,7,24,0
2021-08-08,Japan,13,23,14,71,0
2021-08-08,Sweden,1,0,0,8,0
2021-08-09,Afghanistan,2,2,9,24,0
2021-08-09,Japan,13,23,21,64,0
2021-08-09,Sweden,1,0,0,8,0
2021-08-10,Afghanistan,2,3,7,23,2
2021-08-10,Japan,13,17,31,60,0
2021-08-10,Sweden,1,1,0,7,0
2021-08-11,Afghanistan,2,4,3,26,2
2021-08-11,Japan,13,11,36,59,2
2021-08-11,Sweden,1,3,0,5,0
2021-08-12,Afghanistan,2,5,2,26,2
2021-08-12,Japan,13,12,27,61,8
2021-08-12,Sweden,1,3,0,5,0
2021-08-13,Afghanistan,2,5,1,25,4
2021-08-13,Japan,13,8,25,62,13
2021-08-13,Sweden,1,3,0,5,0
2021-08-14,Afghanistan,2,3,3,25,4
2021-08-14,Japan,13,6,17,70,15
2021-08-14,Sweden,1,3,0,5,0
2021-08-15,Afghanistan,2,4,5,22,4
2021-08-15,Japan,13,3,11,75,19
2021-08-15,Sweden,1,2,1,5,0
2021-08-16,Afghanistan,2,5,5,21,4
2021-08-16,Japan,13,2,11,75,20
2021-08-16,Sweden,1,1,2,5,0
2021-08-17,Afghanistan,2,6,5,20,4
2021-08-17,Japan,13,2,6,78,22
2021-08-17,Sweden,1,1,2,5,0
2021-08-18,Afghanistan,2,4,5,20,6
2021-08-18,Japan,13,1,5,80,22
2021-08-18,Sweden,1,1,2,5,0
2021-08-19,Afghanistan,2,6,3,18,8
2021-08-19,Japan,13,12,2,70,24
2021-08-19,Sweden,1,3,1,3,1
2021-08-20,Afghanistan,2,6,4,17,8
2021-08-20,Japan,13,20,3,60,25
2021-08-20,Sweden,1,3,2,2,1
2021-08-21,Afghanistan,2,4,5,18,8
2021-08-21,Japan,13,20,10,53,25
2021-08-21,Sweden,1,3,2,2,1
2021-08-22,Afghanistan,2,7,3,16,9
2021-08-22,Japan,13,19,16,48,25
2021-08-22,Sweden,1,3,2,2,1
2021-08-23,Afghanistan,2,5,5,16,9
2021-08-23,Japan,13,15,23,45,25
2021-08-23,Sweden,1,3,3,1,1
2021-08-24,Afghanistan,3,5,4,18,7
2021-08-24,Japan,13,14,27,42,25
2021-08-24,Sweden,1,2,2,1,3
2021-08-25,Afghanistan,3,3,4,19,8
2021-08-25,Japan,13,11,24,44,29
2021-08-25,Sweden,1,1,3,1,3
2021-08-26,Afghanistan,3,4,4,18,8
2021-08-26,Japan,14,14,17,49,27
2021-08-26,Sweden,1,1,3,1,3
2021-08-27,Afghanistan,4,3,3,19,8
2021-08-27,Japan,14,13,13,55,26
2021-08-27,Sweden,1,0,3,1,4
2021-08-28,Afghanistan,4,5,3,17,8
2021-08-28,Japan,15,10,11,55,30
2021-08-28,Sweden,1,0,2,1,5
2021-08-29,Afghanistan,4,6,1,17,9
2021-08-29,Japan,15,9,9,60,28
2021-08-29,Sweden,1,0,1,1,6
2021-08-30,Afghanistan,4,8,1,15,9
2021-08-30,Japan,15,6,12,61,27
2021-08-30,Sweden,1,0,1,1,6
2021-08-31,Afghanistan,4,7,1,16,9
2021-08-31,Japan,15,4,11,66,25
2021-08-31,Sweden,1,0,0,2,6
2021-09-01,Afghanistan,5,6,2,17,7
2021-09-01,Japan,15,3,8,69,26
2021-09-01,Sweden,1,0,0,2,6
2021-09-02,Afghanistan,5,4,4,19,5
2021-09-02,Japan,15,2,7,73,24
2021-09-02,Sweden,1,0,0,3,5
2021-09-03,Afghanistan,5,4,4,19,5
2021-09-03,Japan,15,3,4,74,25
2021-09-03,Sweden,1,0,0,3,5
2021-09-04,Afghanistan,5,3,4,20,5
2021-09-04,Japan,15,2,3,74,27
2021-09-04,Sweden,1,0,0,3,5
2021-09-05,Afghanistan,5,3,3,22,4
2021-09-05,Japan,15,2,2,75,27
2021-09-05,Sweden,1,0,0,3,5
2021-09-06,Afghanistan,5,3,1,23,5
2021-09-06,Japan,15,3,1,74,28
2021-09-06,Sweden,1,0,0,3,5
2021-09-07,Afghanistan,5,2,2,23,5
2021-09-07,Japan,15,2,2,74,28
2021-09-07,Sweden,1,0,0,5,3
2021-09-08,Afghanistan,5,1,2,24,5
2021-09-08,Japan,18,2,1,77,23
2021-09-08,Sweden,1,0,0,5,3
2021-09-09,Afghanistan,5,1,2,24,5
2021-09-09,Japan,19,2,1,80,19
2021-09-09,Sweden,1,0,0,5,3
2021-09-10,Afghanistan,5,1,2,26,3
2021-09-10,Japan,20,2,1,83,15
2021-09-10,Sweden,1,0,0,6,2
2021-09-11,Afghanistan,5,1,1,26,4
2021-09-11,Japan,21,2,0,89,9
2021-09-11,Sweden,1,0,0,7,1
2021-09-12,Afghanistan,5,1,0,27,4
2021-09-12,Japan,21,2,0,91,7
2021-09-12,Sweden,1,0,0,8,0
2021-09-13,Afghanistan,5,1,0,27,4
2021-09-13,Japan,21,2,0,91,7
2021-09-13,Sweden,1,0,0,8,0
2021-09-14,Afghanistan,5,2,0,26,4
2021-09-14,Japan,21,2,1,90,7
2021-09-14,Sweden,1,0,0,8,0
2021-09-15,Afghanistan,5,3,0,25,4
2021-09-15,Japan,21,2,1,91,6
2021-09-15,Sweden,1,0,0,8,0
2021-09-16,Afghanistan,5,3,0,25,4
2021-09-16,Japan,21,1,2,91,6
2021-09-16,Sweden,1,0,0,8,0
2021-09-17,Afghanistan,5,3,0,25,4
2021-09-17,Japan,22,1,2,92,4
2021-09-17,Sweden,1,0,0,8,0
2021-09-18,Afghanistan,5,3,0,25,4
2021-09-18,Japan,23,1,1,94,2
2021-09-18,Sweden,1,0,0,8,0
2021-09-19,Afghanistan,5,2,1,25,4
2021-09-19,Japan,23,1,1,94,2
2021-09-19,Sweden,1,0,0,8,0
2021-09-20,Afghanistan,5,2,1,26,3
2021-09-20,Japan,23,1,0,96,1
2021-09-20,Sweden,1,0,0,8,0
2021-09-21,Afghanistan,5,2,1,26,3
2021-09-21,Japan,23,1,0,96,1
2021-09-21,Sweden,1,0,0,8,0
2021-09-22,Afghanistan,5,2,1,27,2
2021-09-22,Japan,23,1,0,97,0
2021-09-22,Sweden,1,0,0,8,0
2021-09-23,Afghanistan,5,2,0,28,2
2021-09-23,Japan,23,2,0,96,0
2021-09-23,Sweden,1,0,0,8,0
2021-09-24,Afghanistan,5,2,0,28,2
2021-09-24,Japan,23,2,0,96,0
2021-09-24,Sweden,1,0,0,8,0
2021-09-25,Afghanistan,5,2,0,29,1
2021-09-25,Japan,23,1,1,96,0
2021-09-25,Sweden,1,0,0,8,0
2021-09-26,Afghanistan,5,2,0,30,0
2021-09-26,Japan,23,1,1,96,0
2021-09-26,Sweden,1,0,0,8,0
2021-09-27,Afghanistan,5,2,0,30,0
2021-09-27,Japan,23,1,1,96,0
2021-09-27,Sweden,1,0,0,8,0
2021-09-28,Afghanistan,5,2,0,30,0
2021-09-28,Japan,23,1,1,96,0
2021-09-28,Sweden,1,0,0,8,0
2021-09-29,Afghanistan,5,2,0,30,0
2021-09-29,Japan,23,1,0,96,1
2021-09-29,Sweden,1,0,0,8,0
2021-09-30,Afghanistan,5,2,0,30,0
2021-09-30,Japan,23,1,0,96,1
2021-09-30,Sweden,1,0,0,8,0
2021-10-01,Afghanistan,5,2,0,30,0
2021-10-01,Japan,23,1,0,96,1
2021-10-01,Sweden,1,0,0,8,0
2021-10-02,Afghanistan,5,2,0,30,0
2021-10-02,Japan,23,1,0,96,1
2021-10-02,Sweden,1,0,0,8,0
2021-10-03,Afghanistan,5,2,0,30,0
2021-10-03,Japan,23,1,0,96,1
2021-10-03,Sweden,1,0,0,8,0
2021-10-04,Afghanistan,5,2,0,30,0
2021-10-04,Japan,23,1,0,96,1
2021-10-04,Sweden,1,0,0,8,0
2021-10-05,Afghanistan,5,2,0,30,0
2021-10-05,Japan,23,1,0,96,1
2021-10-05,Sweden,1,0,0,8,0
2021-10-06,Afghanistan,5,2,0,30,0
2021-10-06,Japan,23,1,0,96,1
2021-10-06,Sweden,1,0,0,8,0
2021-10-07,Afghanistan,5,2,0,30,0
2021-10-07,Japan,23,1,0,96,1
2021-10-07,Sweden,1,0,0,8,0
2021-10-08,Afghanistan,5,2,0,30,0
2021-10-08,Japan,23,1,0,96,1
2021-10-08,Sweden,1,0,0,8,0
2021-10-09,Afghanistan,5,2,0,30,0
2021-10-09,Japan,23,1,0,96,1
2021-10-09,Sweden,1,0,0,8,0
2021-10-10,Afghanistan,5,2,0,30,0
2021-10-10,Japan,23,1,0,96,1
2021-10-10,Sweden,1,0,0,8,0
2021-10-11,Afghanistan,5,1,1,30,0
2021-10-11,Japan,23,0,1,96,1
2021-10-11,Sweden,1,0,0,8,0
2021-10-12,Afghanistan,5,1,1,30,0
2021-10-12,Japan,23,0,1,96,1
2021-10-12,Sweden,1,0,0,8,0
2021-10-13,Afghanistan,5,1,1,30,0
2021-10-13,Japan,23,0,1,97,0
2021-10-13,Sweden,1,0,0,8,0
2021-10-14,Afghanistan,5,1,1,30,0
2021-10-14,Japan,23,0,1,97,0
2021-10-14,Sweden,1,0,0,8,0
2021-10-15,Afghanistan,5,0,1,31,0
2021-10-15,Japan,23,0,0,98,0
2021-10-15,Sweden,1,0,0,8,0
2021-10-16,Afghanistan,5,0,1,31,0
2021-10-16,Japan,23,0,0,98,0
2021-10-16,Sweden,1,0,0,8,0
2021-10-17,Afghanistan,5,0,1,31,0
2021-10-17,Japan,23,0,0,98,0
2021-10-17,Sweden,1,0,0,8,0
2021-10-18,Afghanistan,5,0,1,31,0
2021-10-18,Japan,23,0,0,98,0
2021-10-18,Sweden,1,0,0,8,0
2021-10-19,Afghanistan,5,0,0,31,1
2021-10-19,Japan,23,0,0,98,0
2021-10-19,Sweden,1,0,0,8,0
2021-10-20,Afghanistan,5,0,0,31,1
2021-10-20,Japan,23,0,0,98,0
2021-10-20,Sweden,1,0,0,8,0
2021-10-21,Afghanistan,5,0,0,31,1
2021-10-21,Japan,23,0,0,98,0
2021-10-21,Sweden,1,0,0,8,0
2021-10-22,Afghanistan,5,0,0,31,1
2021-10-22,Japan,23,0,0,98,0
2021-10-22,Sweden,1,0,0,8,0
2021-10-23,Afghanistan,5,0,0,31,1
2021-10-23,Japan,23,0,0,98,0
2021-10-23,Sweden,1,0,0,8,0
2021-10-24,Afghanistan,5,0,0,31,1
2021-10-24,Japan,23,0,0,98,0
2021-10-24,Sweden,1,0,0,8,0
2021-10-25,Afghanistan,5,0,0,31,1
2021-10-25,Japan,23,0,0,98,0
2021-10-25,Sweden,1,0,0,8,0
2021-10-26,Afghanistan,5,0,0,31,1
2021-10-26,Japan,23,0,0,98,0
2021-10-26,Sweden,1,0,0,8,0
2021-10-27,Afghanistan,5,0,0,31,1
